iter	Passed	Remaining
0	57	57197
1	57	28788
2	58	19349
3	58	14595
4	58	11734
5	59	9837
6	59	8483
7	60	7442
8	60	6648
9	60	6015
10	61	5502
11	61	5067
12	61	4706
13	62	4394
14	62	4121
15	63	3876
16	63	3665
17	63	3478
18	64	3306
19	64	3150
20	64	3013
21	64	2886
22	65	2771
23	65	2667
24	65	2571
25	66	2480
26	66	2397
27	66	2321
28	67	2249
29	67	2183
30	67	2119
31	68	2060
32	68	2004
33	68	1950
34	68	1901
35	69	1854
36	69	1809
37	69	1767
38	70	1726
39	70	1687
40	70	1650
41	70	1615
42	71	1582
43	71	1551
44	71	1522
45	72	1493
46	72	1465
47	72	1437
48	72	1411
49	72	1386
50	73	1363
51	73	1340
52	73	1320
53	74	1300
54	74	1279
55	74	1260
56	75	1241
57	75	1224
58	75	1205
59	75	1189
60	76	1173
61	76	1157
62	76	1142
63	77	1126
64	77	1111
65	77	1098
66	77	1085
67	78	1072
68	78	1060
69	78	1048
70	79	1036
71	79	1025
72	79	1013
73	80	1004
74	80	994
75	80	983
76	81	972
77	81	962
78	81	952
79	82	943
80	82	934
81	82	925
82	82	914
83	82	905
84	83	896
85	83	888
86	83	880
87	84	872
88	84	865
89	84	857
90	85	849
91	85	842
92	85	835
93	85	828
94	86	822
95	86	815
96	86	809
97	87	803
98	87	797
99	87	790
100	88	783
101	88	778
102	88	772
103	89	767
104	89	762
105	89	756
106	90	752
107	90	746
108	90	740
109	90	736
110	91	730
111	91	726
112	91	721
113	92	716
114	92	712
115	92	707
116	93	701
117	93	697
118	93	693
119	93	688
120	94	684
121	94	680
122	94	676
123	95	672
124	95	668
125	95	664
126	96	660
127	96	656
128	96	652
129	97	649
130	97	645
131	97	642
132	98	638
133	98	635
134	98	632
135	98	628
136	99	625
137	99	622
138	99	618
139	100	615
140	100	612
141	100	608
142	100	604
143	101	601
144	101	598
145	101	595
146	102	592
147	102	589
148	102	585
149	102	583
150	103	580
151	103	577
152	103	574
153	104	571
154	104	568
155	104	565
156	104	562
157	105	560
158	105	557
159	105	555
160	105	552
161	106	550
162	106	547
163	107	545
164	107	543
165	107	541
166	108	538
167	108	536
168	108	534
169	109	532
170	109	530
171	109	528
172	110	526
173	110	524
174	110	521
175	110	519
176	111	517
177	111	515
178	111	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	497
187	114	496
188	115	494
189	115	492
190	115	490
191	116	488
192	116	486
193	116	484
194	117	483
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	118	470
202	119	468
203	119	466
204	119	464
205	120	463
206	120	461
207	120	460
208	121	458
209	121	457
210	121	455
211	122	454
212	122	452
213	122	451
214	123	449
215	123	448
216	123	446
217	124	445
218	124	443
219	124	442
220	125	440
221	125	439
222	125	437
223	125	436
224	126	434
225	126	433
226	126	431
227	127	430
228	127	429
229	127	427
230	128	426
231	128	424
232	128	423
233	128	422
234	129	421
235	129	419
236	129	418
237	130	417
238	130	415
239	131	415
240	131	413
241	131	412
242	131	410
243	132	409
